fullname,age,department,salary,marital_status,gender
Dr. Jose Chavez,43,Operations,37330.62,married,male
John Flores,65,Information Technology,81311.11,single,female
Tracy Moore,20,Operations,88928.97,single,male
Courtney Navarro,27,Marketing,69171.07,single,male
Evan Johnson,52,Information Technology,44040.55,married,female
Elizabeth Dawson,34,Operations,100225.97,married,male
Mrs. Miranda Santiago,57,Marketing,93325.29,single,male
Mr. Michael Lane Jr.,23,Finance,65946.21,married,female
Tiffany Marquez MD,18,Information Technology,39146.26,married,male
John Roberts,50,Human Resource,111821.02,single,male
Wesley Zavala,54,Operations,55344.15,married,male
Jessica Thomas,62,Human Resource,61210.79,married,female
Tony Wright,30,Operations,67166.96,single,male
Christopher Hernandez,19,Operations,97236.4,married,female
Michael Williams,28,Marketing,42699.38,married,female
Jessica Smith,50,Marketing,53871.29,single,female
Jennifer Martinez,19,Operations,112684.36,single,female
Robert Phillips,21,Marketing,81922.43,married,male
Sean Thomas,39,Marketing,34357.34,married,male
Ms. Brenda Colon PhD,61,Information Technology,37483.07,single,female
Corey Warren,57,Marketing,31509.52,married,male
Justin Matthews,43,Human Resource,96855.29,single,male
Monique Kidd,42,Human Resource,92663.05,married,female
George Brown,62,Operations,46175.44,single,female
Jared Neal,40,Information Technology,58890.85,single,male
Elizabeth May,63,Finance,50323.37,single,female
Jonathon Ramirez,37,Marketing,58836.95,married,male
Anthony Morgan,46,Operations,60095.05,married,female
Veronica Ferrell,43,Human Resource,72089.86,single,female
Maria Hamilton,24,Finance,93087.32,single,female
Carrie Escobar,23,Operations,110676.65,single,male
Karen Fox,30,Operations,82088.88,married,female
William Sanchez,22,Finance,55239.05,single,male
Alison Horton,29,Human Resource,54252.63,single,male
Douglas Hernandez,38,Finance,54793.91,married,female
John Middleton,62,Finance,51778.98,married,female
Jennifer Heath,20,Finance,54006.48,married,male
Jason Williams,65,Operations,83026.36,married,female
Daniel Mason,54,Human Resource,119692.31,single,male
Jessica Snyder,27,Marketing,42483.37,single,female
Kenneth Tucker,19,Human Resource,36776.94,single,female
Richard Moreno,48,Marketing,72189.9,single,female
David Murphy,19,Marketing,35124.4,married,male
Eric Ferguson,22,Finance,94403.11,married,female
Gabriel Chavez,24,Human Resource,112424.74,single,male
Michael Hughes,24,Information Technology,79684.71,single,male
Michelle Velez,24,Human Resource,64102.25,married,male
Russell Rose,26,Human Resource,45341.78,married,female
Christopher Norris,25,Finance,94538.4,single,male
Kevin Wong,28,Human Resource,37385.16,single,male
Ryan Cunningham,31,Marketing,106135.74,single,male
Jennifer Shelton,43,Human Resource,104503.52,single,male
Mariah Clements,52,Marketing,89782.87,single,male
James Haley,37,Operations,67296.99,married,female
Audrey Sanchez,25,Human Resource,62940.38,married,female
Briana Allen,58,Information Technology,52060.11,married,male
Debra Morrison,26,Operations,93463.82,single,female
Bonnie Macdonald,36,Human Resource,113586.43,married,female
Michele Sutton,59,Human Resource,109297.33,single,male
Christina Brewer,61,Human Resource,56295.49,married,male
Joshua Romero,53,Human Resource,85951.62,married,male
Stephanie Davis,61,Finance,91333.58,married,female
Perry Jones,56,Information Technology,30102.3,single,male
Allen Myers,29,Operations,112075.11,single,male
Rebecca Turner,18,Human Resource,40180.53,single,female
Jeff Velez,23,Marketing,109125.57,single,female
Isabella Morgan,52,Finance,92052.76,single,male
April Branch,40,Operations,46735.54,single,male
Susan Hudson,42,Information Technology,55027.95,married,female
Joseph Cox,58,Human Resource,114709.17,single,male
Ian Roberts,29,Finance,39023.31,married,female
Michelle Figueroa,40,Finance,80332.28,married,female
Janet Lyons,56,Marketing,84097.2,single,female
David Hughes,25,Information Technology,32909.64,married,female
Amanda Patel,30,Marketing,115870.05,single,female
David Carter,65,Finance,80073.26,married,female
Yvonne Herman,18,Finance,73863.67,single,male
Mario Matthews,48,Human Resource,101692.22,single,male
Margaret Day,45,Marketing,30453.6,married,male
Eric Miller,61,Operations,100266.07,married,male
Kenneth Little,26,Human Resource,119631.12,single,male
Courtney Moore,45,Operations,84873.61,married,female
Keith Butler,29,Marketing,91873.48,married,female
Ashley Barnes,64,Marketing,94081.48,married,female
Sandra Sweeney,61,Finance,108257.25,married,male
Dennis Carpenter,29,Information Technology,58555.43,married,male
Tara Ward,35,Operations,115368.84,married,male
Patrick Long,60,Operations,65292.15,married,male
Michael Miller,24,Marketing,64236.91,married,male
Andre Mendez,32,Operations,116386.58,single,male
Crystal Campbell,28,Marketing,90757.58,single,male
Penny Cooper,65,Operations,66986.79,single,male
Eddie Holland,37,Operations,36172.31,single,male
Kimberly Baker,23,Operations,89420.67,single,female
Monique Anderson,47,Finance,66409.83,single,male
Walter Walters,54,Marketing,50976.31,married,male
Thomas Ramsey,51,Information Technology,91419.3,married,female
Ethan Best,22,Finance,44970.31,single,male
Stephanie Jones,35,Marketing,115820.15,single,male
Michael Wilson,38,Operations,34844.12,single,female
Amy Tyler,21,Marketing,83771.61,married,male
David Castillo,28,Operations,36486.73,single,male
Connor Johnson,47,Information Technology,52043.36,single,female
Samantha Johns,39,Information Technology,97801.53,married,female
Bonnie Lam,47,Marketing,98513.19,married,male
Luke Archer,42,Information Technology,118028.03,single,male
Jorge Mcgrath,23,Marketing,103166.37,single,male
Antonio Malone,31,Information Technology,75085.72,single,male
Erin Hicks,50,Human Resource,88575.03,married,female
John Frazier,56,Finance,77365.82,single,female
Nichole Hart MD,21,Operations,87492.23,married,female
Kimberly Brown,53,Finance,107414.44,single,female
Edward Taylor III,48,Operations,73481.77,single,female
Ashley Coleman,42,Marketing,56913.45,married,female
Barbara Ramirez,47,Marketing,102759.07,single,male
Trevor Nichols,52,Information Technology,73962.5,single,female
Kim Foster,55,Finance,69501.89,single,male
Robert Rodriguez,42,Finance,90403.99,single,female
Brent Smith,30,Marketing,48122.01,single,male
Steven Hayes,58,Finance,109885.91,single,male
Shawn Hall,63,Finance,49275.36,married,male
Kimberly Vance,51,Operations,49670.54,single,male
Hailey Underwood,37,Information Technology,39939.49,single,male
Miss Christine Serrano,27,Finance,52072.22,married,male
Elizabeth Wright,51,Human Resource,114970.88,married,male
Jessica Wade,25,Information Technology,76383.04,single,male
Adam Baxter,38,Finance,75588.65,married,male
Amy Bridges,32,Information Technology,39510.24,single,female
Jaime Gordon,58,Operations,101904.47,single,male
Daniel Ford,51,Information Technology,46809.99,single,female
Denise White,54,Human Resource,74291.11,married,female
Joel Jordan,49,Human Resource,86951.51,married,female
Amber Mack,52,Finance,117453.22,single,male
Justin Palmer,38,Marketing,111811.59,single,female
Heather Leonard,50,Information Technology,56485.3,single,female
Courtney Singleton,18,Information Technology,55042.27,married,male
Daniel Mitchell,47,Operations,48622.91,single,female
Stephen Oneill,46,Human Resource,103001.99,single,female
Kendra Orozco,30,Operations,48852.95,single,female
Katie Cobb,63,Finance,115177.81,single,female
Donald Russell,52,Operations,52786.18,married,male
Perry James,42,Marketing,74184.7,single,female
Tyler Johnson,30,Marketing,100528.92,single,female
Rachel Martinez,36,Information Technology,48752.04,married,male
Amanda Frazier,32,Information Technology,111645.81,single,female
Pamela Garcia,22,Marketing,30146.37,single,male
Janet Goodwin,54,Human Resource,108124.3,single,male
Alicia Underwood,35,Marketing,60520.83,single,male
Jeremy Olson,39,Marketing,99919.6,married,male
Jason Gallagher,42,Marketing,65802.73,married,female
Sarah Payne,50,Information Technology,98490.44,married,female
Linda Campbell MD,52,Marketing,56028.69,married,female
Derrick Atkinson,29,Information Technology,90873.08,married,male
Jacqueline Bowers,63,Information Technology,105332.77,single,female
Lynn Reed,23,Information Technology,107215.84,single,male
Christopher Vaughan,47,Finance,108701.73,married,male
Lori Lowery,55,Human Resource,53122.22,married,male
Justin Rush,29,Marketing,38557.34,married,male
Jose Nunez,51,Marketing,110601.48,married,female
James Mckee,59,Finance,47540.28,single,female
Gabrielle Reynolds,44,Finance,76132.39,married,male
Bryan Carlson,30,Finance,112464.46,married,male
Felicia Rush,50,Information Technology,116109.02,married,male
Lawrence Macias,50,Operations,45441.14,married,male
Donald Walker,41,Information Technology,114627.61,married,male
Kendra Smith,46,Marketing,63447.34,married,male
Joseph Mason,52,Operations,73492.71,single,male
Elizabeth Francis,27,Finance,35618.71,married,male
Gregory Maddox,48,Marketing,91578.88,married,female
Melanie Castillo,57,Finance,49526.95,married,male
Brittany Hart,27,Information Technology,55978.86,married,male
Jesse Huffman,63,Operations,85569.9,single,female
Anne Anderson,49,Marketing,88098.96,single,male
Steven Dunn,23,Finance,97555.22,married,female
Jeremy Guzman,33,Finance,108732.05,married,female
Craig Evans,46,Human Resource,47803.08,single,male
Rebekah Harris,53,Finance,71726.78,married,male
Andrew Delgado,64,Human Resource,94752.91,married,female
Patricia Ortiz,50,Marketing,33785.85,married,male
Andrew Caldwell,64,Finance,99620.48,married,female
Brenda Blankenship,58,Information Technology,47995.56,married,female
Andrew Hill,30,Marketing,37067.41,married,male
Heather Murphy,55,Human Resource,116113.59,married,male
Catherine Moore,26,Information Technology,33398.12,single,female
Mr. Manuel Rogers,30,Human Resource,85193.58,married,male
Joseph Calhoun,54,Marketing,52725.83,single,male
David Shaw,21,Operations,87567.66,single,female
Blake Berry,30,Information Technology,39102.49,single,female
Rachel Williams,41,Operations,102550.67,married,female
Louis Snyder,50,Finance,60636.25,single,male
Jesus Barrett,30,Finance,90737.55,married,female
Virginia Arnold,18,Human Resource,61193.67,married,male
Brian Brooks,52,Finance,73297.44,single,male
Cindy Owen,26,Finance,62009.67,single,male
Marie Rodriguez,55,Finance,86682.32,single,male
Andrew Jensen,33,Marketing,83498.51,married,male
Zachary Hood,30,Human Resource,72673.58,single,male
Robert Li,49,Marketing,103790.72,single,female
Maria Fuller,39,Information Technology,54867.4,single,male
Michele Miranda,56,Information Technology,98688.26,single,female
Kayla Chandler,61,Operations,65621.84,married,male
Angela Harris,62,Human Resource,68598.57,married,male
Eric Castaneda,28,Finance,71051.99,married,female
Diamond Lee MD,22,Operations,73827.16,single,male
Regina Ramos,44,Marketing,93115.18,single,female
Christopher Ramos MD,32,Human Resource,33493.46,married,male
Dennis Nelson,19,Human Resource,75700.32,married,male
Kaitlyn Rasmussen,65,Marketing,80581.15,single,male
David Ramos,33,Operations,51833.51,married,male
Stephanie Robinson,31,Human Resource,115730.78,married,female
Lindsay Richard,44,Finance,62623.59,married,male
Kelly Nash,34,Operations,70513.13,married,male
Sandra Butler,53,Operations,41298.5,single,female
Denise Johnson,31,Marketing,30003.04,married,female
Diane Coleman,36,Marketing,117236.07,married,male
Rodney Martinez,32,Operations,105102.1,married,female
Jay Thomas,60,Marketing,43182.69,married,male
Jennifer Moore,56,Finance,89021.54,single,male
Henry Shea,21,Human Resource,82096.08,single,male
Amy Weber,61,Human Resource,105167.07,single,male
Lindsay King,27,Marketing,79494.56,married,male
Anna Hunt,65,Human Resource,106551.63,single,male
Bonnie Hernandez,54,Information Technology,82701.85,married,male
Luis Mathis,39,Information Technology,77759.9,single,male
Rhonda Murray,52,Finance,53846.98,married,female
Nicole Morgan,23,Finance,114992.25,single,female
Sarah Sanders,33,Operations,35970.68,single,female
Amanda Cochran,58,Information Technology,96072.63,married,male
Steven Terrell,33,Operations,34908.64,married,female
Michael Martinez,31,Information Technology,91076.57,single,male
Robert Bell,52,Operations,75451.69,single,female
Justin Walters,49,Information Technology,33630.46,single,male
Maria Dean,64,Finance,57008.53,single,female
Amy Nguyen,50,Information Technology,109658.9,single,female
Laura Odonnell,22,Information Technology,77206.68,single,female
Charles Mcdowell,46,Finance,71247.46,married,female
Alex Chen,58,Finance,70025.31,single,male
Marie Orr,47,Human Resource,84336.86,single,female
Jennifer Davis,56,Human Resource,78303.02,married,male
Laura Alexander,55,Human Resource,64243.09,married,male
Rickey Herring,40,Information Technology,43935.99,single,male
Russell Lee,32,Information Technology,67104.16,single,female
Emily Flores DVM,29,Human Resource,76206.26,married,male
Randy Scott,45,Operations,46417.8,married,female
Rodney Newton,37,Information Technology,106180.21,single,female
Melinda Flores,47,Information Technology,89674.33,married,male
Tyrone Washington,53,Marketing,38037.67,single,male
Ryan Williams,43,Human Resource,66275.29,single,female
Andrew Jones,32,Human Resource,54881.67,single,male
William Mcdonald,47,Information Technology,85599.76,married,female
Stephanie Miller,53,Finance,34935.21,married,female
Jose Young,29,Information Technology,97015.76,single,female
Karl Hall,56,Marketing,88073.92,married,male
Desiree Harris,41,Finance,84494.29,married,female
Manuel Brown,44,Operations,30108.75,married,female
Brandon Johnson,62,Marketing,30795.76,married,male
William Trujillo,24,Human Resource,96595.07,single,female
Eric Greer,23,Human Resource,37774.89,single,male
Michael Shields,63,Human Resource,31660.81,married,female
Amanda Johnson,54,Marketing,88819.86,single,female
Danielle Collins,58,Finance,75064.67,married,female
Evan Morrison,56,Marketing,76829.24,single,male
Chris Cox,60,Operations,68625.68,married,female
Amy Davis,53,Finance,106834.11,single,male
Ariana Smith,29,Information Technology,40234.65,single,male
Jonathan Yu,47,Operations,78744.04,single,female
Christopher Rollins,45,Finance,93436.96,married,female
Jerry Booth,34,Finance,101270.81,single,male
Douglas Lewis,49,Finance,98495.41,single,male
Michael Cox,52,Marketing,32906.4,single,male
Mary Smith,42,Marketing,47038.19,single,female
Kathy Brown,57,Human Resource,107244.05,single,female
Latoya Gonzalez,41,Human Resource,115940.22,single,male
Joseph Rodriguez,30,Human Resource,111242.38,married,female
Carl Gutierrez,61,Information Technology,89696.4,married,female
Joshua Robinson,35,Information Technology,67390.68,single,male
Michael Richards,25,Marketing,52664.07,married,female
Shawn Walton,31,Marketing,110775.88,single,male
Paul Adams,62,Marketing,104951.77,married,female
Karen Hayes,28,Information Technology,65110.46,single,female
Maria Ramsey,700,Finance,92353.65,married,female
Jenny Perkins,300,Finance,62234.97,single,female
